"","Kingdom","Phylum","Class","Order","Family","Genus","Species","AG_crust","AG_subsoil","PG_crust","PG_subsoil","S_crust","S_subsoil","T_crust","T_subsoil","prob_type","prob_zone","prob_month","carbon_rho","prob_carbon","OTU_min","OTU_max","OTU_mid","prob_type_FDR","prob_zone_FDR","prob_month_FDR","prob_carbon_FDR","classification","c_cor","type_sig","zone_sig","month_sig","OTU"
"106","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Geodermatophilaceae",NA,NA,2.05139842045532,0.262279446828803,1.90119833118923,0.776679798611766,0.347259902333152,0.414414414414414,0.616444840332374,0.163983303518187,0.0536899395451079,0.492979913318336,0.30195367976524,-0.0271072561442512,0.854886194341959,0,6.63716814159292,3.31858407079646,0.120802363976493,0.492979913318336,0.526250055325641,0.854886194341959,"N D","","","","","106"
"2005","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","","",0.429331672123945,1.91726834295929,0.157024582396266,1.61605714071447,0.087719298245614,0.387455997054966,0,0,0.0194139057020244,0.00091738890540432,0.653378457546243,-0.539035345892137,7.72268813559331e-05,0,5.71428571428571,2.85714285714286,0.0582417171060731,0.00275216671621296,0.653378457546243,0.000231680644067799,"oligotroph","---",".","**","","2005"
"2084","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Geodermatophilaceae","Geodermatophilus","obscurus",0.255102040816327,0,0,1.18674261819423,1.25511492709106,0.425687211907659,0.462328251337198,0.874198796759589,0.451565150083669,0.0681538439948802,0.183531043262699,0.337402841637229,0.0190164407711869,0,6.25,3.125,0.508010793844128,0.10223076599232,0.526250055325641,0.0244497095629546,"copiotroph","+","","","","2084"
"2933","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","lanatus",0.127118644067797,0.889642275947595,0.110619469026549,0.738647736368634,0.501534017958688,1.31021770554344,0.217912689264089,1.12833087835701,0.00144771179113514,0.473227634415882,0.619944567423881,0.0443846784504638,0.764521997243889,0,4.42978322337418,2.21489161168709,0.00651470306010815,0.492979913318336,0.653378457546243,0.854886194341959,"N D","","**","","","2933"
"3180","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Pseudonocardia","",0.157438811245606,0.0269251480883145,0,0.11441647597254,1.18351572566709,0.841269446917508,2.06137205909015,2.36274251628532,0.752960413768683,6.35412132788921e-05,0.0620486288659249,0.460637219071891,0.000985557948835448,0,3.80116959064327,1.90058479532164,0.752960413768683,0.000285935459755014,0.279218829896662,0.00221750538487976,"copiotroph","++","","***","","3180"
"3219","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Geodermatophilaceae","Modestobacter","",0.655860539791761,0.214592274678112,0.436205016357688,0.613712899556968,1.16857176382951,0.199829459088718,2.7510756800032,1.08669725044626,0.0984579828426019,0.0271902389177276,0.350833370217094,0.425722527492701,0.00255529810546995,0,5.43046357615894,2.71523178807947,0.147686974263903,0.0489424300519097,0.526250055325641,0.00459953658984592,"copiotroph","++","","*","","3219"
"3302","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Kineosporiaceae","","",3.60124851899304,3.95255557585197,3.08867995597274,4.3462861084811,1.48024186289463,2.04973567321886,0.210800823430418,0.198595101713693,0.396805869458116,1.36251460693598e-07,0.456873155148988,-0.653086243947503,4.87169920698159e-07,0,6.14250614250614,3.07125307125307,0.508010793844128,1.22626314624238e-06,0.587408342334413,4.38452928628343e-06,"oligotroph","---","","***","","3302"
"3323","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","","",0.894653465932983,3.18932626407244,0.724738898475124,3.79191420734541,1.24085041993688,1.83414826186586,0,1.51857329564674,3.10839327600433e-05,0.0895499080294245,0.242311599176073,-0.412913870677702,0.00353731358169157,0,7.78032036613272,3.89016018306636,0.000279755394840389,0.115135596037832,0.526250055325641,0.00530597037253735,"oligotroph","--","***","","","3323"
"3542","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","","",0.684393991036781,0.0574052812858783,0.294985250737463,0.214993145169098,1.98644390442333,1.42741454522494,4.48073558789412,1.15970815700682,0.0673357182551931,0.00268496776640483,0.0334214128685108,0.586457947421291,1.18552504422539e-05,0,6.41025641025641,3.20512820512821,0.121204292859348,0.00604117747441086,0.279218829896662,5.33486269901427e-05,"copiotroph","+++","","**","","3542"
